"","sp1_common","sp1_scientific","sp1_tax_res","sp1_tax_group","sp1_lifestage","sp2_common","sp2_scientific","sp2_tax_res","sp2_tax_group","sp2_lifestage","effect_sp1_on_sp2","effect_sp2_on_sp1","interaction","interaction_strength","interaction_freq_count","interaction_freq_percent","time_of_year","year","elevation","vertical_strata","latitude","longitude","location_description","habitat_description","source_citation","source_URL","text_excerpt_occ","text_excerpt_ixn","raw_data","name_changes","other_sp1","comments","occ_freq","raw_data_ID","sp1_gbif","sp2_gbif"
"41","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2022,NA,NA,10.4312458036,-84.0038299558,"positional accuracy = NA m",NA,NA,"https://www.inaturalist.org/observations/111922269",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"42","Domestic Cat","Felis catus","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September",2021,NA,NA,10.0256777778,-84.0354694444,"positional accuracy = 3 m",NA,NA,"https://www.inaturalist.org/observations/100782495",NA,NA,NA,NA,NA,NA,NA,NA,"Felis catus",NA
"43","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"December",2018,NA,NA,10.43130444,-84.0045907942,"positional accuracy = 26 m",NA,NA,"https://www.inaturalist.org/observations/68055262",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"44","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August",2012,NA,NA,10.3019435523,-84.034227915,"positional accuracy = 122 m",NA,NA,"https://www.inaturalist.org/observations/59866711",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"45","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May",2009,NA,NA,10.4157725314,-84.1149660002,"positional accuracy = 732 m",NA,NA,"https://www.inaturalist.org/observations/52976409",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"46","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2015,NA,NA,10.430623,-84.006971,"positional accuracy = 210 m",NA,NA,"https://www.inaturalist.org/observations/47519107",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"47","Jaguarundi","Herpailurus yagouaroundi","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2020,NA,NA,10.334192,-83.949348,"positional accuracy = 18074 m",NA,NA,"https://www.inaturalist.org/observations/42896491",NA,NA,NA,NA,NA,NA,NA,NA,"Herpailurus yagouaroundi",NA
"48","Margay","Leopardus wiedii","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",2020,NA,NA,10.3275507437,-83.9019276273,"positional accuracy = 18074 m",NA,NA,"https://www.inaturalist.org/observations/42895644",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus wiedii",NA
"49","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September",2005,NA,NA,10.1335821208,-84.1056608113,"positional accuracy = 61 m",NA,NA,"https://www.inaturalist.org/observations/17899822",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"50","Jaguar","Panthera onca","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",2018,NA,NA,10.4162827595,-84.181651122,"positional accuracy = 396 m",NA,NA,"https://www.inaturalist.org/observations/15270189",NA,NA,NA,NA,NA,NA,NA,NA,"Panthera onca",NA
